,TITLE,ARTIST,GENRE,YEAR,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,POPULARITY
1,Brave,Sara Bareilles,Acoustic Pop,2013,185,84,55,-4,4,76,221,1,5,71
2,Turning Page,Sleeping At Last,Acoustic Pop,2011,125,38,30,-8,11,19,255,91,3,46
3,Foolish Games,Jewel,Alaska Indie,2013,132,34,51,-11,12,7,250,23,3,36
4,Talk (feat. Disclosure),Khalid,Alternative R&B,2019,136,40,90,-9,6,35,198,5,13,84
5,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,Art Pop,2013,126,81,57,-6,13,11,215,2,6,74
6,Love,Lana Del Rey,Art Pop,2017,99,37,53,-11,11,23,273,49,3,72
7,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,Art Pop,2017,135,57,76,-9,20,14,261,2,13,67
8,Lust for Life (with The Weeknd),Lana Del Rey,Art Pop,2017,100,67,51,-9,36,27,264,58,6,54
9,Team,Lorde,Art Pop,2014,100,58,69,-7,31,42,193,17,9,73
10,Freak,Kelly Rowland,ATL Hip Hop,2013,104,78,65,-5,12,45,274,13,6,28
11,Castle Walls (feat. Christina Aguilera),T.I.,ATL Hip Hop,2010,80,86,45,-5,26,58,329,7,39,49
12,OMG (feat. will.i.am),Usher,ATL Hip Hop,2010,130,75,78,-6,36,33,269,20,3,72
13,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,ATL Hip Hop,2010,120,86,66,-3,8,65,221,3,11,52
14,Chandelier,Sia,Australian Dance,2014,174,78,29,-3,7,62,216,2,7,56
15,Elastic Heart,Sia,Australian Dance,2015,130,79,42,-5,15,50,257,1,5,73
16,Alive,Sia,Australian Dance,2015,100,76,51,-4,11,44,264,25,5,61
17,Cheap Thrills,Sia,Australian Dance,2016,90,80,59,-5,8,73,225,6,22,64
18,The Greatest,Sia,Australian Dance,2017,192,73,67,-6,6,73,210,1,27,76
19,Free Me,Sia,Australian Dance,2017,87,46,27,-4,14,21,286,85,3,44
20,Fancy,Iggy Azalea,Australian Hip Hop,2014,95,72,91,-4,5,38,200,9,7,70
21,Whataya Want from Me,Adam Lambert,Australian Pop,2010,186,68,44,-5,6,45,227,1,5,66
22,If I Had You,Adam Lambert,Australian Pop,2010,131,91,65,-4,37,79,228,1,11,59
23,Price Tag,Jessie J,Australian Pop,2011,175,83,64,-4,27,68,223,3,18,72
24,Domino,Jessie J,Australian Pop,2012,127,55,76,-5,4,78,232,1,3,69
25,Bang Bang,Jessie J,Australian Pop,2015,150,75,71,-4,38,73,199,27,9,61
26,Only Girl (In The World),Rihanna,Barbadian Pop,2010,126,72,79,-4,7,61,235,13,4,73
27,Hard,Rihanna,Barbadian Pop,2010,182,75,31,-4,65,16,251,1,11,57
28,What's My Name?,Rihanna,Barbadian Pop,2011,100,79,69,-3,8,58,263,23,7,69
29,We Found Love,Rihanna,Barbadian Pop,2011,128,77,73,-4,11,60,215,3,4,61
30,Cheers (Drink To That),Rihanna,Barbadian Pop,2011,80,91,58,-4,29,73,262,2,4,58
31,S&M Remix,Rihanna,Barbadian Pop,2011,128,81,82,-3,5,89,257,5,5,54
32,Where Have You Been,Rihanna,Barbadian Pop,2012,128,85,72,-6,22,44,243,0,9,68
33,Diamonds,Rihanna,Barbadian Pop,2012,92,71,56,-5,11,39,225,0,5,61
34,You Da One,Rihanna,Barbadian Pop,2012,127,72,70,-5,13,86,200,50,4,57
35,Right Now - Dyro Radio Edit,Rihanna,Barbadian Pop,2013,130,74,53,-6,24,45,186,0,4,42
36,FourFiveSeconds,Rihanna,Barbadian Pop,2015,206,27,58,-6,13,35,188,88,5,80
37,American Oxygen,Rihanna,Barbadian Pop,2015,78,75,39,-6,33,48,320,5,9,61
38,Needed Me,Rihanna,Barbadian Pop,2016,111,31,67,-8,8,30,192,11,24,80
39,Work,Rihanna,Barbadian Pop,2016,92,53,73,-6,9,56,219,8,9,78
40,Love On The Brain,Rihanna,Barbadian Pop,2018,172,64,51,-5,8,38,224,7,5,82
41,Reality - Radio Edit,Lost Frequencies,Belgian EDM,2015,122,70,71,-8,7,60,159,2,3,61
42,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,Belgian EDM,2017,122,64,73,-7,8,53,158,2,4,59
43,Heroes (we could be),Alesso,Big Room,2015,126,75,52,-4,24,35,210,4,6,56
44,Wake Me Up,Avicii,Big Room,2013,124,78,53,-6,16,64,247,0,5,85
45,Hey Brother,Avicii,Big Room,2014,125,78,55,-5,8,46,255,3,4,78
46,Broken Arrows,Avicii,Big Room,2015,116,67,63,-7,10,29,233,5,5,65
47,Rich Boy,Galantis,Big Room,2017,110,90,74,-2,8,65,184,7,5,55
48,In the Name of Love,Martin Garrix,Big Room,2016,134,52,50,-6,45,17,196,11,4,81
49,There for You,Martin Garrix,Big Room,2017,106,64,61,-8,12,13,222,12,6,76
50,All Around The World (La La La),R3HAB,Big Room,2019,125,86,73,-5,11,52,148,48,3,82
51,Don't You Worry Child - Radio Edit,Swedish House Mafia,Big Room,2013,129,84,61,-3,12,44,213,11,5,78
52,She Looks So Perfect,5 Seconds of Summer,Boy Band,2014,160,95,49,-4,33,44,202,0,13,71
53,Pom Poms,Jonas Brothers,Boy Band,2013,148,98,68,-2,28,90,198,7,9,52
54,Only Human,Jonas Brothers,Boy Band,2019,94,50,80,-6,6,87,183,11,7,87
55,Sucker,Jonas Brothers,Boy Band,2019,138,73,84,-5,11,95,181,4,6,86
56,What Makes You Beautiful,One Direction,Boy Band,2012,125,79,73,-2,6,89,200,1,7,78
57,Story of My Life,One Direction,Boy Band,2013,121,66,60,-6,12,29,245,23,5,81
58,Best Song Ever,One Direction,Boy Band,2013,118,88,65,-3,8,49,200,2,5,73
59,Kiss You,One Direction,Boy Band,2013,90,93,63,-3,32,91,183,2,6,73
60,Night Changes,One Direction,Boy Band,2015,120,52,67,-8,12,37,227,86,4,77
61,Perfect,One Direction,Boy Band,2015,100,82,65,-5,12,40,230,6,8,55
62,Steal My Girl,One Direction,Boy Band,2015,77,76,47,-6,14,52,227,0,4,51
63,Glad You Came,The Wanted,Boy Band,2012,127,85,72,-4,11,45,198,3,6,72
64,Walks Like Rihanna,The Wanted,Boy Band,2013,126,82,56,-3,10,43,202,1,6,62
65,We Own The Night,The Wanted,Boy Band,2013,104,94,55,-4,23,56,206,1,13,56
66,Someone Like You,Adele,British Soul,2011,135,33,56,-8,10,28,285,89,3,80
67,Rolling in the Deep,Adele,British Soul,2011,105,76,73,-5,5,52,228,13,3,76
68,Set Fire to the Rain,Adele,British Soul,2012,108,68,61,-4,13,47,242,0,3,76
69,Hello,Adele,British Soul,2015,158,45,48,-6,9,29,295,34,3,73
70,All I Ask,Adele,British Soul,2016,142,28,59,-5,15,34,272,88,3,71
71,Send My Love (To Your New Lover),Adele,British Soul,2016,164,52,69,-8,17,56,223,4,10,61
72,When We Were Young,Adele,British Soul,2016,144,59,38,-6,9,27,291,35,5,58
73,Million Years Ago,Adele,British Soul,2016,0,0,0,-60,0,0,227,0,0,0
74,Water Under the Bridge,Adele,British Soul,2017,95,84,60,-7,11,47,240,2,7,49
75,Only Love Can Hurt Like This,Paloma Faith,British Soul,2015,91,89,57,-5,33,31,233,10,8,69
76,Silence,Marshmello,Brostep,2018,142,76,52,-3,17,29,181,26,9,82
77,Happier,Marshmello,Brostep,2019,100,79,69,-3,17,67,214,19,5,90
78,Here,Alessia Cara,Canadian Contemporary R&B,2015,120,82,38,-4,8,33,199,8,10,68
79,Scars To Your Beautiful,Alessia Cara,Canadian Contemporary R&B,2016,97,74,57,-6,11,45,230,3,13,79
80,"How Far I'll Go - From ""Moana""",Alessia Cara,Canadian Contemporary R&B,2017,181,54,31,-10,7,16,176,16,35,71
81,The Hills,The Weeknd,Canadian Contemporary R&B,2015,113,56,58,-7,14,14,242,7,5,84
82,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Canadian Contemporary R&B,2015,120,38,66,-6,10,44,252,39,3,79
83,Starboy,The Weeknd,Canadian Contemporary R&B,2017,186,59,68,-7,14,49,230,14,28,85
84,I Feel It Coming,The Weeknd,Canadian Contemporary R&B,2017,93,82,77,-6,7,59,269,43,12,81
85,"Hold On, We're Going Home",Drake,Canadian Hip Hop,2013,100,41,77,-7,7,29,228,0,10,73
86,Too Good,Drake,Canadian Hip Hop,2016,118,65,79,-8,10,39,263,5,10,74
87,Behind Your Back,Nelly Furtado,Canadian Latin,2016,98,47,80,-10,7,69,228,25,4,18
88,What the Hell,Avril Lavigne,Canadian Pop,2011,150,93,58,-4,14,88,221,0,5,74
89,Rock N Roll,Avril Lavigne,Canadian Pop,2013,184,96,47,-3,34,67,207,1,13,61
